institution1,institution2,paper_doi,date
The University of Tokyo,The University of Tokyo,10.1145/2801040.2801047,2015
Shimane University,Shimane University,10.1145/2801040.2801050,2015
The MARCS Institute for Brain  Behaviour and Development,The MARCS Institute for Brain  Behaviour and Development,10.1145/2801040.2801060,2015
The MARCS Institute for Brain  Behaviour and Development,Western Sydney University,10.1145/2801040.2801060,2015
Western Sydney University,Western Sydney University,10.1145/2801040.2801060,2015
Kyushu University,Kyushu University,10.1145/2801040.2801066,2015
Ochanomizu University,Ochanomizu University,10.1145/2801040.2801067,2015
Ochanomizu University,The University of Sydney,10.1145/2801040.2801067,2015
The University of Sydney,The University of Sydney,10.1145/2801040.2801067,2015
Ajou University,Ajou University,10.1145/2801040.2801069,2015
Tokyo University of Science,Tokyo University of Science,10.1145/2801040.2801068,2015
Tokyo University of Science,Universite d'Angers,10.1145/2801040.2801068,2015
Universite d'Angers,Universite d'Angers,10.1145/2801040.2801068,2015
The University of Electro-Communications,The University of Electro-Communications,10.1145/2801040.2801070,2015
Chang Gung University,Chang Gung University,10.1145/2801040.2801065,2015
Chang Gung University,Chang Gung Memorial Hospital,10.1145/2801040.2801065,2015
Chang Gung Memorial Hospital,Chang Gung Memorial Hospital,10.1145/2801040.2801065,2015
Research Organization of Information and Systems National Institute of Informatics,Research Organization of Information and Systems National Institute of Informatics,10.1145/2801040.2801071,2015
Research Organization of Information and Systems National Institute of Informatics,The University of Tokyo,10.1145/2801040.2801071,2015
The University of Tokyo,The University of Tokyo,10.1145/2801040.2801071,2015
Tianjin University,Tianjin University,10.1145/2801040.2801072,2015
Tianjin University,The University of Texas at Dallas,10.1145/2801040.2801072,2015
The University of Texas at Dallas,The University of Texas at Dallas,10.1145/2801040.2801072,2015
Gakushuin University,Gakushuin University,10.1145/2801040.2802138,2015
Gakushuin University,Senshu University,10.1145/2801040.2802138,2015
Senshu University,Senshu University,10.1145/2801040.2802138,2015
Lomonosov Moscow State University,Lomonosov Moscow State University,10.1145/2636240.2636844,2014
Micron Technology Incorporated,Micron Technology Incorporated,10.1145/2636240.2636850,2014
Micron Technology Incorporated,Boise State University,10.1145/2636240.2636850,2014
Micron Technology Incorporated,University of San Francisco,10.1145/2636240.2636850,2014
Boise State University,Boise State University,10.1145/2636240.2636850,2014
Boise State University,University of San Francisco,10.1145/2636240.2636850,2014
University of San Francisco,University of San Francisco,10.1145/2636240.2636850,2014
University of Technology Sydney,University of Technology Sydney,10.1145/2636240.2636841,2014
University of Technology Sydney,The MARCS Institute for Brain  Behaviour and Development,10.1145/2636240.2636841,2014
University of Technology Sydney,Tianjin University,10.1145/2636240.2636841,2014
The MARCS Institute for Brain  Behaviour and Development,The MARCS Institute for Brain  Behaviour and Development,10.1145/2636240.2636841,2014
The MARCS Institute for Brain  Behaviour and Development,Tianjin University,10.1145/2636240.2636841,2014
Tianjin University,Tianjin University,10.1145/2636240.2636841,2014
University of Applied Sciences Western Switzerland,University of Applied Sciences Western Switzerland,10.1145/2636240.2636839,2014
University of Applied Sciences Western Switzerland,University of Stuttgart,10.1145/2636240.2636839,2014
University of Stuttgart,University of Stuttgart,10.1145/2636240.2636839,2014
The University of Tokyo,The University of Tokyo,10.1145/2636240.2636858,2014
The University of Tokyo,Vienna University of Technology,10.1145/2636240.2636858,2014
The University of Tokyo,University of Tsukuba,10.1145/2636240.2636858,2014
The University of Tokyo,The University of Aizu,10.1145/2636240.2636858,2014
Vienna University of Technology,Vienna University of Technology,10.1145/2636240.2636858,2014
Vienna University of Technology,University of Tsukuba,10.1145/2636240.2636858,2014
Vienna University of Technology,The University of Aizu,10.1145/2636240.2636858,2014
University of Tsukuba,University of Tsukuba,10.1145/2636240.2636858,2014
University of Tsukuba,The University of Aizu,10.1145/2636240.2636858,2014
The University of Aizu,The University of Aizu,10.1145/2636240.2636858,2014
Shenzhen University,Shenzhen University,10.1145/2636240.2636854,2014
Shenzhen University,Bosch Research and Technology Center,10.1145/2636240.2636854,2014
Shenzhen University,Hong Kong University of Science and Technology,10.1145/2636240.2636854,2014
Bosch Research and Technology Center,Bosch Research and Technology Center,10.1145/2636240.2636854,2014
Bosch Research and Technology Center,Hong Kong University of Science and Technology,10.1145/2636240.2636854,2014
Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,10.1145/2636240.2636854,2014
Deakin University,Deakin University,10.1145/2636240.2636843,2014
Deakin University,Monash University,10.1145/2636240.2636843,2014
Monash University,Monash University,10.1145/2636240.2636843,2014
University of Paderborn,University of Paderborn,10.1145/2636240.2636840,2014
National Chiao Tung University Taiwan,National Chiao Tung University Taiwan,10.1145/2636240.2636846,2014
University of Salerno,University of Salerno,10.1145/2636240.2636855,2014
University of Salerno,Australian Catholic University,10.1145/2636240.2636855,2014
University of Salerno,The University of Sydney,10.1145/2636240.2636855,2014
Australian Catholic University,Australian Catholic University,10.1145/2636240.2636855,2014
Australian Catholic University,The University of Sydney,10.1145/2636240.2636855,2014
The University of Sydney,The University of Sydney,10.1145/2636240.2636855,2014
Western Sydney University,Western Sydney University,10.1145/2636240.2636842,2014
Western Sydney University,The MARCS Institute for Brain  Behaviour and Development,10.1145/2636240.2636842,2014
Western Sydney University,Flinders University,10.1145/2636240.2636842,2014
Western Sydney University,The University of British Columbia,10.1145/2636240.2636842,2014
Western Sydney University,Kansas State University,10.1145/2636240.2636842,2014
Western Sydney University,University of Alberta,10.1145/2636240.2636842,2014
The MARCS Institute for Brain  Behaviour and Development,The MARCS Institute for Brain  Behaviour and Development,10.1145/2636240.2636842,2014
The MARCS Institute for Brain  Behaviour and Development,Flinders University,10.1145/2636240.2636842,2014
The MARCS Institute for Brain  Behaviour and Development,The University of British Columbia,10.1145/2636240.2636842,2014
The MARCS Institute for Brain  Behaviour and Development,Kansas State University,10.1145/2636240.2636842,2014
The MARCS Institute for Brain  Behaviour and Development,University of Alberta,10.1145/2636240.2636842,2014
Flinders University,Flinders University,10.1145/2636240.2636842,2014
Flinders University,The University of British Columbia,10.1145/2636240.2636842,2014
Flinders University,Kansas State University,10.1145/2636240.2636842,2014
Flinders University,University of Alberta,10.1145/2636240.2636842,2014
The University of British Columbia,The University of British Columbia,10.1145/2636240.2636842,2014
The University of British Columbia,Kansas State University,10.1145/2636240.2636842,2014
The University of British Columbia,University of Alberta,10.1145/2636240.2636842,2014
Kansas State University,Kansas State University,10.1145/2636240.2636842,2014
Kansas State University,University of Alberta,10.1145/2636240.2636842,2014
University of Alberta,University of Alberta,10.1145/2636240.2636842,2014
National Institute of Technology Karnataka,National Institute of Technology Karnataka,10.1145/2636240.2636847,2014
Tianjin University,Tianjin University,10.1145/2636240.2636857,2014
Tianjin University,The University of Texas at Dallas,10.1145/2636240.2636857,2014
The University of Texas at Dallas,The University of Texas at Dallas,10.1145/2636240.2636857,2014
Tsinghua University,Tsinghua University,10.1145/2636240.2636845,2014
Indian Institute of Technology Guwahati,Indian Institute of Technology Guwahati,10.1145/2636240.2636856,2014
University of Waikato,University of Waikato,10.1145/2636240.2636853,2014
University of Brighton,University of Brighton,10.1145/2636240.2636838,2014
University of Brighton,University of Kent,10.1145/2636240.2636838,2014
University of Kent,University of Kent,10.1145/2636240.2636838,2014
University of Technology Sydney,University of Technology Sydney,10.1145/2636240.2636848,2014
University of Technology Sydney,Epicentre,10.1145/2636240.2636848,2014
Epicentre,Epicentre,10.1145/2636240.2636848,2014
Queensland University of Technology,Queensland University of Technology,10.1145/2636240.2636851,2014
The University of Sydney,The University of Sydney,10.1145/2636240.2636852,2014
The University of Sydney,Epicentre,10.1145/2636240.2636852,2014
Epicentre,Epicentre,10.1145/2636240.2636852,2014
Kyushu University,Kyushu University,10.1145/2636240.2636849,2014
Shandong University,Shandong University,10.1145/2636240.2636862,2014
James Cook University,James Cook University,10.1145/2636240.2636860,2014
Brigham Young University Hawaii,Brigham Young University Hawaii,10.1145/2636240.2636871,2014
National Institute of Technology Karnataka,National Institute of Technology Karnataka,10.1145/2636240.2636863,2014
James Cook University,James Cook University,10.1145/2636240.2636865,2014
University of Tasmania,University of Tasmania,10.1145/2636240.2636868,2014
University of Tasmania,Berner Fachhochschule,10.1145/2636240.2636868,2014
Berner Fachhochschule,Berner Fachhochschule,10.1145/2636240.2636868,2014
Deakin University,Deakin University,10.1145/2636240.2636866,2014
Ochanomizu University,Ochanomizu University,10.1145/2636240.2636861,2014
University of Colombo,University of Colombo,10.1145/2636240.2636867,2014
University of Colombo,Monash University Malaysia,10.1145/2636240.2636867,2014
Monash University Malaysia,Monash University Malaysia,10.1145/2636240.2636867,2014
Nanjing University,Nanjing University,10.1145/2636240.2636870,2014
The University of Sydney,The University of Sydney,10.1145/2636240.2636864,2014
Queensland University of Technology,Queensland University of Technology,10.1145/2636240.2636869,2014
University of Colombo,University of Colombo,10.1145/2636240.2636876,2014
University of Colombo,Monash University Malaysia,10.1145/2636240.2636876,2014
Monash University Malaysia,Monash University Malaysia,10.1145/2636240.2636876,2014
Ochanomizu University,Ochanomizu University,10.1145/2636240.2636877,2014
Ochanomizu University,Shiseido Company Ltd.,10.1145/2636240.2636877,2014
Shiseido Company Ltd.,Shiseido Company Ltd.,10.1145/2636240.2636877,2014
National Institute of Technology Karnataka,National Institute of Technology Karnataka,10.1145/2636240.2636878,2014
University of Colombo,University of Colombo,10.1145/2636240.2636875,2014
University of Colombo,Monash University Malaysia,10.1145/2636240.2636875,2014
Monash University Malaysia,Monash University Malaysia,10.1145/2636240.2636875,2014
University of Colombo,University of Colombo,10.1145/2636240.2636874,2014
University of Colombo,Monash University Malaysia,10.1145/2636240.2636874,2014
Monash University Malaysia,Monash University Malaysia,10.1145/2636240.2636874,2014
University of Toyama,University of Toyama,10.1145/2636240.2636872,2014
Epicentre,Epicentre,10.1145/2636240.2636873,2014
Epicentre,Queensland University of Technology,10.1145/2636240.2636873,2014
Queensland University of Technology,Queensland University of Technology,10.1145/2636240.2636873,2014
Sapienza University of Rome,Sapienza University of Rome,10.1145/2493102.2493103,2013
Sapienza University of Rome,Shizuoka University,10.1145/2493102.2493103,2013
Sapienza University of Rome,The University of Aizu,10.1145/2493102.2493103,2013
Shizuoka University,Shizuoka University,10.1145/2493102.2493103,2013
Shizuoka University,The University of Aizu,10.1145/2493102.2493103,2013
The University of Aizu,The University of Aizu,10.1145/2493102.2493103,2013
Beihang University,Beihang University,10.1145/2493102.2493104,2013
Beihang University,Chinese Academy of Sciences,10.1145/2493102.2493104,2013
Beihang University,Institute of Software Chinese Academy of Sciences,10.1145/2493102.2493104,2013
Chinese Academy of Sciences,Chinese Academy of Sciences,10.1145/2493102.2493104,2013
Chinese Academy of Sciences,Institute of Software Chinese Academy of Sciences,10.1145/2493102.2493104,2013
Institute of Software Chinese Academy of Sciences,Institute of Software Chinese Academy of Sciences,10.1145/2493102.2493104,2013
University of Salerno,University of Salerno,10.1145/2493102.2493105,2013
University of Salerno,Australian Catholic University,10.1145/2493102.2493105,2013
University of Salerno,The University of Sydney,10.1145/2493102.2493105,2013
Australian Catholic University,Australian Catholic University,10.1145/2493102.2493105,2013
Australian Catholic University,The University of Sydney,10.1145/2493102.2493105,2013
The University of Sydney,The University of Sydney,10.1145/2493102.2493105,2013
Harbin Institute of Technology,Harbin Institute of Technology,10.1145/2493102.2493106,2013
Nanjing University,Nanjing University,10.1145/2493102.2493107,2013
Nanjing University,Beijing Electronic Science and Technology Institute,10.1145/2493102.2493107,2013
Beijing Electronic Science and Technology Institute,Beijing Electronic Science and Technology Institute,10.1145/2493102.2493107,2013
Tsinghua University,Tsinghua University,10.1145/2493102.2493108,2013
Tsinghua University,Hong Kong University of Science and Technology,10.1145/2493102.2493108,2013
Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,10.1145/2493102.2493108,2013
The University of Texas at Dallas,The University of Texas at Dallas,10.1145/2493102.2493109,2013
The University of Texas at Dallas,Texas Instruments,10.1145/2493102.2493109,2013
Texas Instruments,Texas Instruments,10.1145/2493102.2493109,2013
East China Normal University,East China Normal University,10.1145/2493102.2493110,2013
Tsinghua University,Tsinghua University,10.1145/2493102.2493111,2013
University of Technology Sydney,University of Technology Sydney,10.1145/2493102.2493112,2013
University of Technology Sydney,Western Sydney University,10.1145/2493102.2493112,2013
University of Technology Sydney,The MARCS Institute for Brain  Behaviour and Development,10.1145/2493102.2493112,2013
Western Sydney University,Western Sydney University,10.1145/2493102.2493112,2013
Western Sydney University,The MARCS Institute for Brain  Behaviour and Development,10.1145/2493102.2493112,2013
The MARCS Institute for Brain  Behaviour and Development,The MARCS Institute for Brain  Behaviour and Development,10.1145/2493102.2493112,2013
University of Salerno,University of Salerno,10.1145/2493102.2493113,2013
University of Macau,University of Macau,10.1145/2493102.2493114,2013
Sapienza University of Rome,Sapienza University of Rome,10.1145/2493102.2493116,2013
Sapienza University of Rome,University of Salerno,10.1145/2493102.2493116,2013
Sapienza University of Rome,University of Brighton,10.1145/2493102.2493116,2013
University of Salerno,University of Salerno,10.1145/2493102.2493116,2013
University of Salerno,University of Brighton,10.1145/2493102.2493116,2013
University of Brighton,University of Brighton,10.1145/2493102.2493116,2013
Nanjing University,Nanjing University,10.1145/2493102.2493118,2013
University of Tours,University of Tours,10.1145/2493102.2493119,2013
University of Tours,University of Lille,10.1145/2493102.2493119,2013
University of Lille,University of Lille,10.1145/2493102.2493119,2013
Aston University,Aston University,10.1145/2493102.2493120,2013
Aston University,Loughborough University,10.1145/2493102.2493120,2013
Loughborough University,Loughborough University,10.1145/2493102.2493120,2013
Shandong University,Shandong University,10.1145/2493102.2493121,2013
Shandong University,Shandong University,10.1145/2493102.2493122,2013
Winthrop University,Winthrop University,10.1145/2493102.2493115,2013
Winthrop University,University of Illinois Urbana-Champaign,10.1145/2493102.2493115,2013
Winthrop University,University College London,10.1145/2493102.2493115,2013
Winthrop University,The University of Edinburgh,10.1145/2493102.2493115,2013
University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,10.1145/2493102.2493115,2013
University of Illinois Urbana-Champaign,University College London,10.1145/2493102.2493115,2013
University of Illinois Urbana-Champaign,The University of Edinburgh,10.1145/2493102.2493115,2013
University College London,University College London,10.1145/2493102.2493115,2013
University College London,The University of Edinburgh,10.1145/2493102.2493115,2013
The University of Edinburgh,The University of Edinburgh,10.1145/2493102.2493115,2013
Linnaeus University  Växjö,Linnaeus University  Växjö,10.1145/2493102.2499784,2013
Tsinghua University,Tsinghua University,10.1145/2493102.2499785,2013
Utah State University,Utah State University,10.1145/2493102.2499786,2013
Loughborough University,Loughborough University,10.1145/2493102.2499787,2013
Zhejiang University of Technology,Zhejiang University of Technology,10.1145/2397696.2397697,2012
Central South University,Central South University,10.1145/2397696.2397698,2012
Shandong University,Shandong University,10.1145/2397696.2397699,2012
IBM Research - China,IBM Research - China,10.1145/2397696.2397700,2012
IBM Research - China,IBM China Company Limited,10.1145/2397696.2397700,2012
IBM Research - China,University of Maryland  College Park (UMD),10.1145/2397696.2397700,2012
IBM Research - China,Institute of Software Chinese Academy of Sciences,10.1145/2397696.2397700,2012
IBM Research - China,Tsinghua University,10.1145/2397696.2397700,2012
IBM China Company Limited,IBM China Company Limited,10.1145/2397696.2397700,2012
IBM China Company Limited,University of Maryland  College Park (UMD),10.1145/2397696.2397700,2012
IBM China Company Limited,Institute of Software Chinese Academy of Sciences,10.1145/2397696.2397700,2012
IBM China Company Limited,Tsinghua University,10.1145/2397696.2397700,2012
University of Maryland  College Park (UMD),University of Maryland  College Park (UMD),10.1145/2397696.2397700,2012
University of Maryland  College Park (UMD),Institute of Software Chinese Academy of Sciences,10.1145/2397696.2397700,2012
University of Maryland  College Park (UMD),Tsinghua University,10.1145/2397696.2397700,2012
Institute of Software Chinese Academy of Sciences,Institute of Software Chinese Academy of Sciences,10.1145/2397696.2397700,2012
Institute of Software Chinese Academy of Sciences,Tsinghua University,10.1145/2397696.2397700,2012
Tsinghua University,Tsinghua University,10.1145/2397696.2397700,2012
Vanderbilt University,Vanderbilt University,10.1145/2397696.2397701,2012
Vanderbilt University,Boise State University,10.1145/2397696.2397701,2012
Boise State University,Boise State University,10.1145/2397696.2397701,2012
Beijing Normal University,Beijing Normal University,10.1145/2397696.2397702,2012
Beijing Normal University,Drexel University,10.1145/2397696.2397702,2012
Drexel University,Drexel University,10.1145/2397696.2397702,2012
University of Illinois at Chicago,University of Illinois at Chicago,10.1145/2397696.2397703,2012
The University of North Carolina at Charlotte,The University of North Carolina at Charlotte,10.1145/2397696.2397704,2012
The University of North Carolina at Charlotte,State Key Lab of CAD&CG  Zhejiang University,10.1145/2397696.2397704,2012
State Key Lab of CAD&CG  Zhejiang University,State Key Lab of CAD&CG  Zhejiang University,10.1145/2397696.2397704,2012
The MARCS Institute for Brain  Behaviour and Development,The MARCS Institute for Brain  Behaviour and Development,10.1145/2397696.2397705,2012
The MARCS Institute for Brain  Behaviour and Development,J. Craig Venter Institute,10.1145/2397696.2397705,2012
The MARCS Institute for Brain  Behaviour and Development,University of Technology Sydney,10.1145/2397696.2397705,2012
The MARCS Institute for Brain  Behaviour and Development,Tianjin University,10.1145/2397696.2397705,2012
J. Craig Venter Institute,J. Craig Venter Institute,10.1145/2397696.2397705,2012
J. Craig Venter Institute,University of Technology Sydney,10.1145/2397696.2397705,2012
J. Craig Venter Institute,Tianjin University,10.1145/2397696.2397705,2012
University of Technology Sydney,University of Technology Sydney,10.1145/2397696.2397705,2012
University of Technology Sydney,Tianjin University,10.1145/2397696.2397705,2012
Tianjin University,Tianjin University,10.1145/2397696.2397705,2012
Tianjin University,Tianjin University,10.1145/2397696.2397706,2012
Tianjin University,East China Normal University,10.1145/2397696.2397706,2012
Tianjin University,Soochow University,10.1145/2397696.2397706,2012
East China Normal University,East China Normal University,10.1145/2397696.2397706,2012
East China Normal University,Soochow University,10.1145/2397696.2397706,2012
Soochow University,Soochow University,10.1145/2397696.2397706,2012
The University of Texas at Dallas,The University of Texas at Dallas,10.1145/2397696.2397707,2012
University of Macau,University of Macau,10.1145/2397696.2397708,2012
Nanjing University,Nanjing University,10.1145/2397696.2397709,2012
The University of North Carolina at Charlotte,The University of North Carolina at Charlotte,10.1145/2397696.2397710,2012
The University of North Carolina at Charlotte,Worcester Polytechnic Institute,10.1145/2397696.2397710,2012
The University of North Carolina at Charlotte,University of the Pacific  California,10.1145/2397696.2397710,2012
Worcester Polytechnic Institute,Worcester Polytechnic Institute,10.1145/2397696.2397710,2012
Worcester Polytechnic Institute,University of the Pacific  California,10.1145/2397696.2397710,2012
University of the Pacific  California,University of the Pacific  California,10.1145/2397696.2397710,2012
Tianjin University,Tianjin University,10.1145/2397696.2397711,2012
Tianjin University,Tsinghua University,10.1145/2397696.2397711,2012
Tsinghua University,Tsinghua University,10.1145/2397696.2397711,2012
University of Technology Sydney,University of Technology Sydney,10.1145/2397696.2397712,2012
University of Technology Sydney,National Yang Ming Chiao Tung University,10.1145/2397696.2397712,2012
National Yang Ming Chiao Tung University,National Yang Ming Chiao Tung University,10.1145/2397696.2397712,2012
The University of North Carolina at Charlotte,The University of North Carolina at Charlotte,10.1145/2016656.2016657,2011
The University of North Carolina at Charlotte,Palo Alto Research Center Incorporated,10.1145/2016656.2016657,2011
The University of North Carolina at Charlotte,University System of New Hampshire,10.1145/2016656.2016657,2011
Palo Alto Research Center Incorporated,Palo Alto Research Center Incorporated,10.1145/2016656.2016657,2011
Palo Alto Research Center Incorporated,University System of New Hampshire,10.1145/2016656.2016657,2011
University System of New Hampshire,University System of New Hampshire,10.1145/2016656.2016657,2011
University of Macau,University of Macau,10.1145/2016656.2016658,2011
University of Tsukuba,University of Tsukuba,10.1145/2016656.2016659,2011
Chinese Academy of Sciences,Chinese Academy of Sciences,10.1145/2016656.2016660,2011
Chinese Academy of Sciences,Beijing Jiaotong University,10.1145/2016656.2016660,2011
Chinese Academy of Sciences,Institute of Software Chinese Academy of Sciences,10.1145/2016656.2016660,2011
Beijing Jiaotong University,Beijing Jiaotong University,10.1145/2016656.2016660,2011
Beijing Jiaotong University,Institute of Software Chinese Academy of Sciences,10.1145/2016656.2016660,2011
Institute of Software Chinese Academy of Sciences,Institute of Software Chinese Academy of Sciences,10.1145/2016656.2016660,2011
Ochanomizu University,Ochanomizu University,10.1145/2016656.2016661,2011
Shimane University,Shimane University,10.1145/2016656.2016662,2011
Pennsylvania State University,Pennsylvania State University,10.1145/2016656.2016663,2011
Institute of Software Chinese Academy of Sciences,Institute of Software Chinese Academy of Sciences,10.1145/2016656.2016664,2011
Institute of Software Chinese Academy of Sciences,Lenovo Group  China,10.1145/2016656.2016664,2011
Institute of Software Chinese Academy of Sciences,Beijing University of Posts and Telecommunications,10.1145/2016656.2016664,2011
Institute of Software Chinese Academy of Sciences,Pennsylvania State University,10.1145/2016656.2016664,2011
Lenovo Group  China,Lenovo Group  China,10.1145/2016656.2016664,2011
Lenovo Group  China,Beijing University of Posts and Telecommunications,10.1145/2016656.2016664,2011
Lenovo Group  China,Pennsylvania State University,10.1145/2016656.2016664,2011
Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,10.1145/2016656.2016664,2011
Beijing University of Posts and Telecommunications,Pennsylvania State University,10.1145/2016656.2016664,2011
Pennsylvania State University,Pennsylvania State University,10.1145/2016656.2016664,2011
Dalhousie University,Dalhousie University,10.1145/2016656.2016665,2011
Chinese Academy of Sciences,Chinese Academy of Sciences,10.1145/2016656.2016666,2011
Chinese Academy of Sciences,Institute of Software Chinese Academy of Sciences,10.1145/2016656.2016666,2011
Institute of Software Chinese Academy of Sciences,Institute of Software Chinese Academy of Sciences,10.1145/2016656.2016666,2011
Tianjin University,Tianjin University,10.1145/2016656.2016667,2011
Tianjin University,University of Technology Sydney,10.1145/2016656.2016667,2011
University of Technology Sydney,University of Technology Sydney,10.1145/2016656.2016667,2011
The University of Texas at Dallas,The University of Texas at Dallas,10.1145/2016656.2016668,2011
Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,10.1145/2016656.2016669,2011
Hong Kong University of Science and Technology,Bosch Research and Technology Center,10.1145/2016656.2016669,2011
Hong Kong University of Science and Technology,Microsoft Research Asia,10.1145/2016656.2016669,2011
Hong Kong University of Science and Technology,Carnegie Mellon University,10.1145/2016656.2016669,2011
Bosch Research and Technology Center,Bosch Research and Technology Center,10.1145/2016656.2016669,2011
Bosch Research and Technology Center,Microsoft Research Asia,10.1145/2016656.2016669,2011
Bosch Research and Technology Center,Carnegie Mellon University,10.1145/2016656.2016669,2011
Microsoft Research Asia,Microsoft Research Asia,10.1145/2016656.2016669,2011
Microsoft Research Asia,Carnegie Mellon University,10.1145/2016656.2016669,2011
Carnegie Mellon University,Carnegie Mellon University,10.1145/2016656.2016669,2011
Southern Methodist University,Southern Methodist University,10.1145/2016656.2016670,2011
Bosch Research and Technology Center,Bosch Research and Technology Center,10.1145/2016656.2016671,2011
Bosch Research and Technology Center,Sun Yat-Sen University,10.1145/2016656.2016671,2011
Bosch Research and Technology Center,Pennsylvania State University,10.1145/2016656.2016671,2011
Sun Yat-Sen University,Sun Yat-Sen University,10.1145/2016656.2016671,2011
Sun Yat-Sen University,Pennsylvania State University,10.1145/2016656.2016671,2011
Pennsylvania State University,Pennsylvania State University,10.1145/2016656.2016671,2011
The University of Texas at Dallas,The University of Texas at Dallas,10.1145/2016656.2016672,2011
University of California  San Diego,University of California  San Diego,10.1145/1865841.1865843,2010
University of Maryland  College Park (UMD),University of Maryland  College Park (UMD),10.1145/1865841.1865844,2010
CSIRO Data61,CSIRO Data61,10.1145/1865841.1865845,2010
Northumbria University,Northumbria University,10.1145/1865841.1865846,2010
Peking University,Peking University,10.1145/1865841.1865848,2010
Shandong University,Shandong University,10.1145/1865841.1865849,2010
Beijing Normal University,Beijing Normal University,10.1145/1865841.1865850,2010
Shandong University,Shandong University,10.1145/1865841.1865853,2010
University of Technology Sydney,University of Technology Sydney,10.1145/1865841.1865854,2010
Dalhousie University,Dalhousie University,10.1145/1865841.1865856,2010
Shandong University,Shandong University,10.1145/1865841.1865857,2010
UOW Malaysia KDU College,UOW Malaysia KDU College,10.1145/1865841.1865858,2010
Chinese Academy of Sciences,Chinese Academy of Sciences,10.1145/1865841.1865860,2010
Chinese Academy of Sciences,Institute of Software Chinese Academy of Sciences,10.1145/1865841.1865860,2010
Institute of Software Chinese Academy of Sciences,Institute of Software Chinese Academy of Sciences,10.1145/1865841.1865860,2010
Chinese Academy of Sciences,Chinese Academy of Sciences,10.1145/1865841.1865861,2010
Chinese Academy of Sciences,Institute of Software Chinese Academy of Sciences,10.1145/1865841.1865861,2010
Institute of Software Chinese Academy of Sciences,Institute of Software Chinese Academy of Sciences,10.1145/1865841.1865861,2010
The MARCS Institute for Brain  Behaviour and Development,The MARCS Institute for Brain  Behaviour and Development,10.1145/1865841.1865862,2010
The MARCS Institute for Brain  Behaviour and Development,Western Sydney University,10.1145/1865841.1865862,2010
The MARCS Institute for Brain  Behaviour and Development,University of Technology Sydney,10.1145/1865841.1865862,2010
Western Sydney University,Western Sydney University,10.1145/1865841.1865862,2010
Western Sydney University,University of Technology Sydney,10.1145/1865841.1865862,2010
University of Technology Sydney,University of Technology Sydney,10.1145/1865841.1865862,2010
CSIRO Ict Centre,CSIRO Ict Centre,10.1145/1865841.1865864,2010
CSIRO Ict Centre,CSIRO Data61,10.1145/1865841.1865864,2010
CSIRO Data61,CSIRO Data61,10.1145/1865841.1865864,2010
Bosch Research and Technology Center,Bosch Research and Technology Center,10.1145/1865841.1865865,2010
Bosch Research and Technology Center,Pennsylvania State University,10.1145/1865841.1865865,2010
Pennsylvania State University,Pennsylvania State University,10.1145/1865841.1865865,2010
Shimane University,Shimane University,10.1145/1865841.1865866,2010
The University of Texas at Dallas,The University of Texas at Dallas,10.1145/1865841.1865868,2010
University of Macau,University of Macau,10.1145/1865841.1865869,2010
Pennsylvania State University,Pennsylvania State University,10.1145/1865841.1865870,2010
University of Applied Sciences Western Switzerland,University of Applied Sciences Western Switzerland,10.1145/3554944.3554948,2022
St. Polten University of Applied Sciences,St. Polten University of Applied Sciences,10.1145/3554944.3554949,2022
University of Bergen,University of Bergen,10.1145/3554944.3554950,2022
The University of Texas at Dallas,The University of Texas at Dallas,10.1145/3554944.3554951,2022
The University of Texas at Dallas,China University of Mining and Technology,10.1145/3554944.3554951,2022
The University of Texas at Dallas,University of Pennsylvania,10.1145/3554944.3554951,2022
The University of Texas at Dallas,Hong Kong University of Science and Technology,10.1145/3554944.3554951,2022
China University of Mining and Technology,China University of Mining and Technology,10.1145/3554944.3554951,2022
China University of Mining and Technology,University of Pennsylvania,10.1145/3554944.3554951,2022
China University of Mining and Technology,Hong Kong University of Science and Technology,10.1145/3554944.3554951,2022
University of Pennsylvania,University of Pennsylvania,10.1145/3554944.3554951,2022
University of Pennsylvania,Hong Kong University of Science and Technology,10.1145/3554944.3554951,2022
Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,10.1145/3554944.3554951,2022
The University of British Columbia,The University of British Columbia,10.1145/3554944.3554952,2022
University of Tsukuba,University of Tsukuba,10.1145/3554944.3554953,2022
University of Konstanz,University of Konstanz,10.1145/3554944.3554971,2022
University of Konstanz,University of Stuttgart,10.1145/3554944.3554971,2022
University of Stuttgart,University of Stuttgart,10.1145/3554944.3554971,2022
University of Stuttgart,University of Stuttgart,10.1145/3554944.3554947,2022
University of Stuttgart,University of Stuttgart,10.1145/3554944.3554945,2022
Litoral Polytechnic School,Litoral Polytechnic School,10.1145/3554944.3554957,2022
University of Bergen,University of Bergen,10.1145/3554944.3554958,2022
University of Bergen,Helse Bergen Haukeland University Hospital,10.1145/3554944.3554958,2022
Helse Bergen Haukeland University Hospital,Helse Bergen Haukeland University Hospital,10.1145/3554944.3554958,2022
University of Applied Sciences Western Switzerland,University of Applied Sciences Western Switzerland,10.1145/3554944.3554959,2022
